Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data scientist,$114K - $197K (Glassdoor est.),"Who we are: At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives. We’re a purpose-driven company, and our beliefs are the foundation of how we conduct business every day. We’re guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Collectively, these values inspire us to work together as One Team with our customers at the center of everything we do, and to take care of ourselves, each other, and the communities in which we live and work. We challenge the status quo, ask questions, and find solutions. Join us as we enable the hopes, dreams, and ambitions of millions of people around the world.
Job Description Summary: At PayPal, we continue to push the boundary of what technology can help people around the world accomplish. For that, we are seeking far and wide for that select handful of exceptional world-class problem solvers with a passion for data insights and a relentless execution focus. The selected candidate for this role would be expected to have the following skills: • Strong SQL skills and visualization skills with a lot of attention to granular details in data • Expertise in stitching together findings to convey coherent insights • Ability to perform deep dive analyses on key business trends from multiple perspectives and package the insights into easily consumable presentations and documents • Ability to front end and interact with stakeholders • Ability to cross pollinate ideas and leverage best practices from the industry",4.1,"PayPal
4.1","San Jose, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$45 - $60 Per Hour,"Job Description:
*Analyze large amounts of information to discover trends and patterns
*Build predictive models and machine-learning algorithms
*Combine models through ensemble modelling
*Present information using data visualization techniques
*Propose solutions and strategies to business challenges
*Any other related responsibilities assigned to you from time to time
*Stay plugged into emerging technologies/industry trends and apply them into operations and activities",-1,skapare,"Dallas, TX",-1,-1,-1,-1,-1,-1
Data Scientist,$90K - $166K (Glassdoor est.),"The Role:
Moderna is seeking a motivated and talented Data Scientist to join our Data Science and Artificial Intelligence (DSAI) team. As part of the company’s mission to “ Build The Digital Biotech Company ”, we see a central role for DSAI in accelerating the scope and pace of our clinical trials. Collaborating closely with Moderna’s Clinical Development Operations (CDO) team, the role will contribute directly towards modeling and optimizing all aspects of clinical trial operations, generating actionable insights impacting trial evolution and patient outcomes. We are looking for someone who is deeply curious, analytically savvy, exhibits an excellent work ethic, and possesses a desire to help realize the potential of novel mRNA therapeutics for patients in the clinic. This full-time position is based in Cambridge, Massachusetts.
Here's What You’ll Do:",4.1,"Moderna
4.1","Cambridge, MA",1001 to 5000 Employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD)
Data Scientist,$72K - $121K (Glassdoor est.),"Our team is responsible for worldwide linear and digital media distribution, design and development of all consumer-facing digital products, advertising technology, consumer data, and international broadcast operations. Our employees are leading, creating, and innovating, making bold moves in unexpected directions that redefine not just what a media company does, but what it can do.

Job Summary:
Our relevance engine is going to be rolled out across several new use cases over the next few months. As such, we need an experienced machine learning expert to help build, validate, and deploy new models right away. Our recommender is also in need of additional support once it launches in September and will need to be loaded up with new and innovative models shortly after its recent launch. Our current resources are already loaded up with the present workload and they won't be able to give this the attention it needs. Many of our junior resources need too much coaching from senior team members, so we really need someone who can jump in and contribute right away, not a year from now. In addition, because these models are iterative, we need someone who can be involved long term and build upon previous models.
Responsibilities:
Qualifications:
Preferred Qualifications:",3.6,"Infinity Consulting Solutions, Inc.
3.6","Burbank, CA",501 to 1000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
University Grad Data Scientist,$97K - $185K (Glassdoor est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
We're looking for university grad Data Scientists to help us connect Pinners to actionable content that improves the Pinner experience. You'll apply quantitative analysis, modeling, and data mining to improve the relevance of Pins across our Ads, Search, and Feeds products.
What you'll do:


Not Specified
0",4.2,"Pinterest
4.2","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Jr. Data Scientist,-1,"Crosswalk is seeking a Jr. Data Scientist to work within the Consumer Insights team to discover information hidden in vast amounts of data, and help the team deliver actionable insights to our clients in the US and Internationally.
Jr. Data Scientist Description
The Jr. Data Scientist will help discover information hidden in vast amounts of data, and help us make smarter decisions to deliver actionable insights to our clients. The Data Scientist will build and find partnership recommendation systems, improve and extend the features used by our clients, develop personas, creative briefs and ultimately use real-world observations, data, and pop-culture referential points to provide meaningful, actionable insights from data.
Tasks",-1,Crosswalk NYC,"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist I (Remote),$77K - $167K (Glassdoor est.),"At GoGuardian, we’re helping share the future of digital learning by providing educators, students, and schools with tools to create engaging and equitable learning environments. Together, we build innovative solutions to empower students, deliver insights, and encourage experimentation. With employees around the globe, we’re committed to building a culture of inclusivity, curiosity, and courage. GoGuardian’s growth is fast and ever-evolving, and our teams are growing along with it — always ready to experiment and learn.
While this job posting uses ""El Segundo, CA"" as the location, please note this role is currently being recruited for remote work or reporting to headquarters if within commuting distance.
As a Data Scientist I at GoGuardian, you will join an innovative team collaborating with partners throughout the business to solve challenging problems. Your primary responsibility will be to optimize company performance with algorithms, experimentation, and interactive dashboards. You will also have the opportunity to contribute to novel research studies and production-grade algorithms that serve students and educators. This is a high-impact role in a dynamic environment. You will help us set a standard for data-driven, scientific decision making throughout the business.",4.1,"GoGuardian
4.1","El Segundo, CA",201 to 500 Employees,2014,Company - Private,K-12 Education,Education,Unknown / Non-Applicable
Sr. Optimization Data Scientist,$68K - $122K (Glassdoor est.),"Maybe you’ve stopped by for a coffee, fueled up your car or grabbed something to eat on the go. Then you know what Circle K is all about. Making everyday life easier for people all over the world. We’ve grown into a successful global company with over 15,000 stores in 24 countries, serving more than 6 million customers each day. In all, we have more than 120,000 people working at our stores and support offices.
To support our future growth ambitions, we are building a global data platform and machine learning solutions. We are currently looking for an experienced Optimization Data Scientist to join our Data & Analytics Engineering team in the Global Technology Department. For the right candidate, Circle K can offer a challenging and rewarding role in a talented, multinational and diverse team.
Experience",2.6,"Circle K
2.6","Tempe, AZ",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,Employer Provided Salary:$89 - $94 Per Hour,"Position: Data Analytics & Engineering - Data Scientist IV
Location: Menlo Park, CA
Duration: This is a contract opportunity for 6 months with a potential for extension or conversion to a direct hire.
Client: Facebook.
Required: US Citizen
Job Description:
· Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our employees interact with our internal products",3.3,"PROLIM Corporation
3.3","Menlo Park, CA",201 to 500 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
"Associate Data Scientist, Ads",$80K - $146K (Glassdoor est.),"Data, Research & Insights
Data Science
We work at the intersection of advertising and messaging technologies to connect millions of brands to billions of fans. As part of the Advertising team, we’re paving the way for a sustainable global Spotify business that allows even more creators to make a living off their art. Come join us and help build the platform that powers promotion at Spotify.
Location
New York or Remote Americas
Job type
Permanent
We are looking for an experienced Data Scientist to work on our Ad Studio or Ad Experience product insights team. We are solving for ways to make it easier for advertisers to access Spotify’s platform. In this role, you’ll join a cross-functional group passionate about, looking critically at how advertising and artist promotion fits into our free listening experience from user-centered perspectives. You will study user behavior, pivotal initiatives and new features, looking critically and empowering data driven decisions on how we build and innovate upon the product. By generating insights, you’ll influence the strategy and direction of Spotify ad products. Above all, your work will impact the way the world experiences music and podcasts.",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst/Scientist,Employer Provided Salary:$45 - $50 Per Hour,"Manage and develop best practices and projects to achieve results. Responsible for the management of data, including gathering, summarizing, and analyzing the data necessary for best practices development and rollout. Summarize the business impact and communicate an analysis of the data globally and at a high level.
2+ years of data analyst and/or process specialist experience
Knowledge of store operations
Creative and alert to new ways of approaching tasks
Ability to be collaborate with committees to achieve desired results
Strong analytical skills
Proficient at multi-tasking with a high level of initiative",-1,EGRS,"Cincinnati, OH",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$50K - $80K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.

Your goal will be to help our company analyze trends to make better decisions.

Responsibilities

Identify valuable data sources and automate collection processes
Requirements",-1,Audiohook,Remote,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,$80K - $161K (Glassdoor est.),"About Us
Camus Energy was founded in 2019 in the San Francisco Bay area. We have deep experience designing and operating distributed systems, and a passion for combating climate change. From pioneering work at Google, SpaceX, and Uber, we bring expertise in massively parallel cloud computing, high-scale real-time analytics, and high-reliability computing.
We work on building software for the grid. The challenges faced by grid operators in an evolving energy landscape are unique. The existing grid is one of humanity's largest machines, and keeping it running safely and smoothly is critical to modern life. But as it becomes smarter, more connected, and more dynamic, we can draw lessons from other industries about how to manage the challenges of scale and reliability for an effective energy transition.",4.0,"Camus Energy
4.0","San Francisco, CA",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Senior Data Scientist,-1,"Build the Future
Could your creative thinking build the future? Our Data Scientists at McGraw Hill make a difference for learners and educators across the world. Our team needs individuals with new ideas who connect with people in innovative ways.

We are looking for a Senior Data Scientist within our K-12 School division at McGraw Hill to join a team of experts that will work on initiatives that place the student at the center of an ongoing journey across multiple programs and classes. This individual will be part of a team that works on building a longitudinal student record based on data from various McGraw Hill products. This record will serve as the basis for recommendations and insights provided to teachers, students, and families that could impact millions of lives.

What you will be doing:",3.8,"McGraw Hill
3.8",California,1001 to 5000 Employees,1888,Company - Private,Education Training Services,Education,$1 to $2 billion (USD)
"Staff Data Scientist, Freemium",$109K - $221K (Glassdoor est.),"Data, Research & Insights
Data Science
The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way. Our team grows Spotify’s audience by finding future listeners around the world and delivering the right value to them, at the right time. With research, product development, product design, engineering, and marketing all collaborating in one organization, we’re able to quickly create meaningful features and services for millions of people around the world, resulting in joyful, long-lasting relationships with Spotify.
Location
New York or Remote Americas
Job type",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Entry Level - Associate Data Scientist (Federal),$64K - $149K (Glassdoor est.),"Introduction
As an Associate Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Work you could do as an Associate Data Scientist:
Implement and validate predictive and prescriptive models, create and maintain statistical models with a focus on big data.
Incorporate a variety of statistical and machine learning techniques in your projects.
Write programs to cleanse and integrate data in an efficient and reusable manner.

Locations:
Washington, DC Metro Area
Huntsville, AL
Hampton, VA
Houston, TX

Required Technical and Professional Expertise

Preferred Majors:
Computer Science, Data Science, Applied Mathematics, Statistics, Cognitive Science, Artificial Intelligence, Business Intelligence, Operations Research, Engineering

Preferred Technical and Professional Expertise
N/A
About Business UnitIBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementIBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:


This position is eligible for participation in an IBM sales incentive plan. Actual incentive opportunity will be based on performance and the eligible Target Incentive, as addressed in the applicable plan, all of which is subject to change.

We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9","Washington, DC",10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD)
Remote Data Scientist (contract),-1,"Remote Data Scientist
Summary:
We are seeking a Data Scientist to deploy a bioinformatics pipeline/dashboard
The project includes incorporating existing public tools into the workflow, building a user interface with reproducibility, scalability, and data management
Responsibilities:
Maintain and improve data processing pipelines, including graphical user interface and back-end database
Benchmark internal and public repositories for data analysis",4.2,"Pfizer
4.2",Remote,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist - remote,-1,"Summary
The Data and Analytics team is a nimble and highly impactful team that provides critical guidance, insights, and strategic frameworks to the senior leaders responsible for our various functions and business units. It is comprised of passionate, smart, and creative individuals who consistently seek out new challenges and experiences. As an integral part of the team, the Data Scientist will help extract meaning from large volumes of data necessary to make business decisions and help the team set the vision, strategy and roadmap of various business units within the organization, working alongside stakeholders to make this happen.
The Data Scientist will be involved in all things analytics; leveraging statistics, machine learning methods, cloud engineering, and business intelligence tools to solve problems. The Data Scientist will run statistical tests and machine learning techniques. They will also leverage entry-level data engineering understanding (SQL, Python, and Linux) to improve the team’s data ecosystem within the Google Cloud Platforms.",3.7,"Pearson
3.7",Arizona,10000+ Employees,1844,Company - Public,Publishing,Media,$5 to $10 billion (USD)
Data Scientist,Employer Provided Salary:$91K - $145K,"Want to come work for the company Forbes Magazine calls ""the most innovative Retailer not named Amazon?"" Data Scientists in Walmart Global Tech - Sam's Club Technology division specialize in applying machine learning and artificial intelligence to solve problems across Merchandising, Marketing, Club Operations, Finance, eCommerce, and Security. You will have the opportunity to work with a high caliber team from a variety of disciplines to build new software and radically change our business.
What you'll do...
Data Scientists in Walmart Global Tech – Sam’s Technology are responsible for analyzing large data sets to develop custom models and algorithms to help with merchandising and operational projects, such as demand forecasting, assortment planning, price optimization and causal inference.",3.3,"Sam's Club
3.3","Bentonville, AR",10000+ Employees,1983,Subsidiary or Business Segment,General Merchandise & Superstores,Retail,$10+ billion (USD)
Junior Data Scientist,$55K - $104K (Glassdoor est.),"A pioneer and industry leader in healthcare quality and cost information, Healthcare Bluebook has joined forces with established data partner, Quantros, Inc. through the acquisition of its quality division to create an unprecedented dataset, and the only one of its kind in the market. Combining Quantros’ deep expertise in provider quality data and analytics with Bluebook’s data—and cost and quality digital navigation—raises the bar in the healthcare transparency space and establishes the solution as best-in-class for both employers and providers.
Your Job Will Be:
Healthcare Bluebook is seeking a data scientist to execute on strategic, pipeline projects in the primary areas of healthcare provider characterization, claims billing aggregation methods, and provider and facility quality scoring. You will help understand, communicate, characterize, and model many aspects of healthcare facility and professional claims data. This is an entry-level position, and under the guidance of our data science team, you will quickly learn how to manage projects, communicate with key stakeholders, and design and apply pragmatic, timely, mathematical solutions. We are a small company and team, so you will be responsible for many aspects of a project including data cleaning, data profiling, modeling, quality assurance, and in many cases operational deployment. We are seeking an outside-the-box thinker and listener who doesn’t think of the most complex data science solution first. We value contribution to our data science community and continual learning and will work hard to help you achieve a healthy work-life balance, grow as an employee, and reach your professional objectives.",4.1,"Healthcare Bluebook
4.1","Brentwood, TN",51 to 200 Employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$82K - $153K (Glassdoor est.),"is:
Proactively perform data exploration to understand player behavior and identify opportunities for improving in-game features
Partner with cross functional teams to prioritize areas of opportunity to drive engagement and monetization, and enable easier experimentation
Develop novel analytics to qualitatively deduce and draw conclusions from player behavioral data that directly influences game design, play balance, retention of our live titles
Identify opportunities to use data science methodologies to improve our games and our business",3.6,"Activision
3.6","Santa Monica, CA",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD)
Data Scientist,$71K - $123K (Glassdoor est.),"Job Description:
We’re looking for a Data Scientist to join our PharmScript team within our Continuous Improvement department. As the Data Scientist, the ideal candidate will leverage the disparate datasets, ensuring data integrity and quality, creating innovative solutions and providing operational insights to improve quality, service and customer experience. The ideal candidate will have experience with database technologies, operational analytics, working knowledge of Artificial Intelligence/Machine Learning (AI/ML) techniques.",3.4,"Pharmscript
3.4","Somerset, NJ",1001 to 5000 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
"Data Scientist I, Product Analytics",$99K - $178K (Glassdoor est.),"The Analytics team powers data-informed decision-making at Tinder. We are looking to add a creative Data Scientist to our growing Analytics team. As a Data Scientist I on the Analytics team, you will partner with Product, Marketing, Engineering, and Finance to improve our outstanding platform.

You will use comprehensive datasets to develop experiments, understand metrics, develop automated reports, and generate exploratory insights to guide our business solutions. You will collaborate with other members of our team to surface important insights - exploratory analysis, experiment results, collaborations with other teams (consumer insights/strategy/etc) - to our partner teams and across the company. These insights influence both the performance of our business and the experience of our members.",3.8,"Tinder
3.8","San Francisco, CA",201 to 500 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
