Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,min_slalry,avg_salary,company_txt,job_state,remote,age,job_simp,seniority,desc_len,python_yn,R_yn,spark,aws,excel
Data Scientist - Remote,$88K - $154K (Glassdoor est.),"Company Description

Medable's mission is to get effective therapies to patients faster. We provide an end-to-end, cloud-based platform with a flexible suite of tools that allows patients, healthcare providers, clinical research organizations and pharmaceutical sponsors to work together as a team in clinical trials. Our solutions enable more efficient clinical research, more effective healthcare delivery, and more accurate precision and predictive medicine. Our target audiences are patients, providers, principal investigators, and innovators who work in healthcare and life sciences.
Our vision is to accelerate the path to human discovery and medical cures. We are passionate about driving innovation and empowering consumers. We are proactive, collaborative, self-motivated learners, committed, bold and tenacious. We are dedicated to making this world a healthier place.

Job Description
Develop and integrate algorithms for data transfers, compliance reports and other analyses that are useful for measuring the performance and/or delivering a successful clinical trial
Present information in a statistically valid and impactful way using data visualization techniques and tools such as R Shiny, Looker and SpotFire
Represent the Data Science team in internal and external meetings to discuss data transfer and report requirements
Support Data Science process improvement activities under the guidance of the Senior Data Scientists
Other duties as assigned

Qualifications
1-3 years working in Data Science, Statistics or Programming role or a combination of education and experience
(Minimum) Bachelor’s degree in Mathematics, Statistics, Data Science or relevant field
Experience with R programming language, Python, SQL, SAS
#LI-REMOTE
#LI-AK1

Additional Information
Highly analytical with a strength for analysis, math and statistics
Critical thinking and problem-solving skills
Experience in data processing and mining
Analytical mind and business acumen
Problem-solving aptitude
Excellent communication and presentation skills
Confident in data storytelling
Knowledge of the drug development industry and the role data plays in clinical trials

Medable, Inc provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",4.0,"Medable
4.0","Palo Alto, CA",1 to 50 Employees,Company - Private,Less than $1 million (USD),-1,-1,-1,0,0,88,154,88,121.0,Medable, CA,0,-1,data scientist,na,2562,1,0,0,1,1
Data Scientist II,$114K - $167K (Glassdoor est.),"Master's degree in math, economics, engineering, statistics, or related discipline is required
2+ years professional experience in machine learning, statistical modeling, data mining, and analytics techniques
Experience with SQL and big data technologies
Experience with Python/R or other machine learning software.
Familiarity with AWS (or similar cloud) solutions such as EMR, S3, and Redshift
Demonstrated ability to manage and prioritize workload and roadmaps
Familiarity with data visualization tools
Solid customer-facing skills

Data Scientist II

The Amazon Private Brands science advance team applies Machine Learning, Statistics and Econometrics/economics to solve high-impact business problems, develop prototypes for Amazon-scale science solutions, and optimize key business functions of Amazon Private Brands and other Amazon orgs, We are an interdisciplinary team, using cutting edge science and technology and leveraging the strengths of engineers and scientists to build solutions for some of the toughest business problems at Amazon, covering areas such as pricing, discovery, negotiation, forecasting, supply chain and product selection/development.

We are looking for an outstanding Data Scientist who is a super fast wrangler of data, strong in building ML/statistical/econometric models, and has strong problem solving and customer-facing skills. You will work with business leaders, scientists, and economists to conduct analyses and statistical inference, acquire data, build predictive and causal inference models, and help our customers apply insights and solve business problems. You will drive actions that scale across Amazon Private Brands org and beyond.

This is a unique, high visibility opportunity for someone who wants to apply science to solve complex large-impact real world business problems , to work closely with other scientists and economists, and to directly interact with and advise business and finance leaders.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Ph.D. or Master's in Operations Research, Statistics, Applied Mathematics or related field.
Programming / scripting experience (Java/Scala, Python, R, Ruby, C#, and/or PHP).
Experience collaborating with finance, operations and engineering teams
Knowledge of cloud computing and AWS services
Excellent analytical and communication skills and ability to influence stakeholders.",3.7,"Amazon.com Services LLC
3.7","Seattle, WA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,114,167,114,140.5,Amazon.com Services LLC, WA,0,27,data scientist,na,2755,1,0,0,1,1
Data Scientist Associate-Data Scientist,$58K - $119K (Glassdoor est.),"Hybrid: Remote and onsite reporting expected.

Please note that Education and/or relevant Experience will be used to determine the appropriate salary and salary grade.

Data Scientist Associate
Data Scientist

Position Summary

This position is responsible for working within the Market Risk Analytics team on data analysis projects, building statistical and other mathematical risk models, performing analysis, interpreting results, and developing actionable insights and recommendations to measure the financial risks for use across the company. This includes data mining, data auditing, aggregation, validation, reconciliation, and visualization. With primary focus on AEP’s commercial units, this position is accountable for developing a deep understanding in energy trading, procurement, and renewable energy (primarily Solar & Wind) activities. This position must have a working knowledge of analytics and statistical software such as SAS, SQL, Python, R, Tableau and others to perform analysis and interpret data.

Position Duties
Assists with the development of basic analytical tools to solve high-value business problems across AEP
Utilize analytical tools and data management skills to provide actionable business intelligence
Acquire business knowledge across the organization and utilize knowledge to assist in development of meaningful analyses
Present to commercial unit leadership regarding outcomes of analysis; often presenting complex results in a simple manner to suit a broader audience
Identify, acquire, and provide management of data needed for various analytic studies
Develop components of predictive and prescriptive systems to optimize operations and support strategic initiatives
Apply data visualization tools to large data sets to enhance data understanding
Assist data scientists in identifying, defining, and developing analyses which provide actionable insight for meeting business needs
Acquire knowledge of business processes and data acquisition practices from business units using disparate systems
Collaborate with Information Technology partners to develop data acquisition and data management practices
Provide meaningful, concise reporting of analytic results
Develop reporting dashboards that meet business needs for status, trends, and variances
Collaborate with IT and business units to operationalize meaningful reports and dashboards
Job Type
Full-Time
Relocation
No
Minimum Requirements
Data Scientist Associate

Education

Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.

Experience

Entry Level; No experience required.

Data Scientist

Education

Bachelor degree in mathematics, operations research, applied statistics, economics, data science or a related quantitative discipline.

Experience

3 years experience applying quantitative, business analytics, and computational skills

Additional Information

Key Skill Requirements:
Thrives in a fast paced and demanding environment with quickly changing priorities.
Excellent programing skills.
Meticulous attention to detail and strong organizational skills. Strong teamwork orientation.
Strong analytical skills to understand the financial market fundamentals, translate analysis into commercial strategies, and advise customers.
Be a strong communicator, both in writing and in presentation skills, as the role involves significant senior-management interaction.
Geographic Proximity
Columbus, OH Area
Work Designation
Hybrid",3.8,"American Electric Power
3.8","Columbus, OH",10000+ Employees,1906,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD),0,0,58,119,58,88.5,American Electric Power, OH,0,115,data scientist,na,3515,1,0,0,0,1
Sr. Data Scientist - Analytics,$102K - $188K (Glassdoor est.),"You Have:
At least 6 years of experience transforming data into insights and influencing product roadmaps.
A keen understanding of metrics, their relation to actual user behavior, limitations, and complementarity.
At least 3 years of experience designing and analyzing AB tests. You have used advanced analysis techniques such as diff-in-diff, two-stage least square, or CUPED. You can explain them clearly to product partners unfamiliar with statistics.
Great SQL skills, so you can quickly tap into our data sources.
Experience using Python data libraries like pandas, numpy, or scipy.
Excellent writing skills. Twitch communicates mostly through reports, not much via slides.
About Us:
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate and grow their personal interests and passions. We're always live at Twitch.

About the Role:
Data scientists play a central role in Twitch's data-driven decision-making process. As a DS at Twitch, you will shape the way product performance is measured, define critical questions that guide product strategies, and scale analytics methods and tools to support our growing business.
More specifically, Twitch's Community Foundations Analytics team is looking for an experienced DS to help develop new programs aimed at improving viewer experience and unlocking new opportunities for creators. As part of the team, you will help product managers, engineering leads, designers, and executives, make better product decisions faster. You'll recommend and implement metrics to measure user behavior, run experiments to test product hypotheses, and produce insights for your partners. You will report to the CF Analytics Lead.

You Will:
Become a domain expert at the product surfaces you support, building trust with your product partners.
Ensure your product, engineering, and design partners understand and use the insights you produce.
Translate product and strategy questions into metrics, and collaborate with data engineers to dashboard these metrics.
Distill ambiguous product or business questions, find clever ways to answer them, and to quantify the uncertainty.
Mentor junior team members and drive analytics and experimentation best practices throughout the company.
Bonus Points:
Knowledge of state-of-the-art statistical methods such as structural equation modeling, GLM, time series forecasting, bayesian inference, etc. When to use them, and when not to.
Curiosity about new experiment analysis techniques developed in academia and the industry.
Familiarity with Tableau
Active Twitch viewer or creator
7 Wonders player (Our team plays every Friday)
Perks:
Medical, Dental, Vision & Disability Insurance
401(k), Maternity & Parental Leave
Flexible PTO
Commuter Benefits
Amazon Employee Discount
Monthly Contribution & Discounts for Wellness Related Activities & Programs (e.g., gym memberships, off-site massages),
Breakfast, Lunch & Dinner Served Daily
Free Snacks & Beverages
Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.
We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, or disability status, or other legally protected status.",3.7,"Twitch Interactive, Inc.
3.7","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,102,188,102,145.0,"Twitch Interactive, Inc.", CA,0,27,data scientist,senior,3700,1,0,0,0,1
Junior Data Scientist - Evernorth,$77K - $125K (Glassdoor est.),"The job profile for this position is Data Science Lead Analyst, which is a Band 3 Contributor Career Track Role.

This position is with Evernorth, a new business within the Cigna Corporation.

Responsibilities:
Manage model governance needs for business partners.

Review model design, assumptions and performance as they relate to disparate metrics identified in our model governance framework. Provide guidance on mitigation actions.

Work cross-functionally to enforce adherence to the model governance framework and provide ongoing support for enhancements to the methodology.

Monitor and manage model governance KPIs of business partners around usage, disparity metrics and performance tracking

Participate in ongoing implementation of the governance procedure and various efforts in model standardization, automation, and inventory management.

Implement periodic model reviews and validation procedure for models in production.

Qualifications :
Bachelors in Quantitative fields such as Mathematics, Decision Science, Operations Research, Computer Science, Economics, Statistics, Engineering or equivalent work experience.

2+ years of strong technical skills to extract and analyze data with proficiency in SAS, Python, or R.

Strong understanding of statistics, probability theory, applied mathematics, and numerical optimization methods with broad exposure to modern machine learning models.

Strong interpersonal skills and an outstanding ability to build relationships and navigate within a complex organization.

Self-awareness, maturity, ability to collaborate as part of the multi-disciplinary team.

Passionate self-starter to collaborate with stakeholders to establish trust & transparency in model life-cycles.

Experience in established institutions requiring implementing regulatory and / or consensus-driven methodology and model validation guidelines preferred

This role is WFH (Work From Home) which allows most work to be performed at home. Employees must be fully vaccinated if they choose to come onsite.

This position is not eligible to be performed in Colorado.

About Evernorth
Evernorth, Cigna Corporation’s health services segment, exists to elevate health for all. We're building on our legacy and redefining health care as we know it. Unbiased in how we think, we create without limitation. We partner without constraints, deliver value differently and act in the interest of humanity. Solving across silos, closing gaps in care, and empowering clients, customers, and people everywhere to move onward and upward. When you work with us, you’ll be empowered to solve the problems others don’t, won’t or can’t. Join us. What difference will you make?

Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.

If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.",3.7,"Cigna
3.7","Hartford, CT",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,0,77,125,77,101.0,Cigna, CT,0,156,data scientist,jr,3461,1,0,0,1,0
Data Scientist,$81K - $160K (Glassdoor est.),"At Kia, we’re creating award-winning products and redefining what value means in the automotive industry. It takes a special group of individuals to do what we do, and we do it together. Our culture is fast-paced, collaborative, and innovative. Our people thrive on thinking differently and challenging the status quo. We are creating something special here, a culture of learning and opportunity, where you can help Kia achieve big things and most importantly, feel passionate and connected to your work every day.
Kia provides team members with competitive benefits including premium paid medical, dental and vision coverage for you and your dependents, 401(k) plan matching of 100% up to 6% of the salary deferral, and time off starting at 14 days per year. Kia also offers company lease and purchase programs, company-wide holiday shutdown, paid volunteer hours, and premium lifestyle amenities at our corporate campus in Irvine, California.
Status
Exempt
Summary
We are greatly pleased to announce our search for a resourceful and experienced data scientist to join our fast-growing Kia United States (KUS) Big Data Center. This position will play an important role in executing data analysis for Kia North America’s regional subsidiaries (KUS/KCA/KaGA/KMX). A future-driven automotive company, Kia has access to vast and diverse datasets and are excited to fill this position with an individual that can derive business improvements and insight from this data. Strong applicants for this role will have statistics, machine learning, and computer science skills to leverage high-performance compute clusters as well as perform reproducible data analysis at scale. With these requirements in mind, our mindset is that data, analytics, automation, and responsible AI can revolutionize our many lines of business.
Major Responsibilities
Priority
Major Responsibility
%

1st
Data Wrangling and Analysis
Assess the accuracy of new data sources
Understand the relationship between the data and the business process
Preprocess structured and unstructured data
Analyze large amounts of data to discover trends and patterns
Build prediction and classification models
Coordinate with different functional teams for feature engineering
30%

2nd
Assess, Visualize and Improve Analysis
Test and continuously improve the accuracy of statistical and machine learning models
Present information using Python and/or dashboards
Simplify and explain complex stats in an intuitive manner
Continuously monitor and validate production analysis results
30%

3rd
Collaborate IT Team to deploy analysis results
Build REST APIs for data and analysis result consumption
Assist the IT system developers to deploy analysis as a service
20%

4th
Clear Documentation, VCS, and Reproducible Analysis
Use git within Gitlab
Create conda, venv, etc to isolate project dependencies and requirements
Track model performance and hyperparameter configurations with mlflow
Track data versioning with dvc
20%

Education/Certification
Bachelor’s degree or equivalent experience in related field of technology required
Certification(s) in data analysis field is highly desirable
Master’s degree in data analysis preferred
Overall Experience
Experience querying databases and using statistical computer languages (SQL, Python)
Experience using Hadoop echo system (Hadoop, Hive, Impala and Spark etc.)
Experience with Dask; dask-ml and dask.DataFrames
Experience using statistics, machine learning and deep learning algorithms
Experience visualizing data using visualization tools (Power BI, MicroStrategy, Tableau etc.)
Directly Related Experience
3+ years of experience preferred
Web scraping (preferred)
Skills
Coding Knowledge and experience with several languages : Python, SQL, Docker, Javascript/Typescript
Excellent written and verbal communication skills.
Experience using statistical computer languages (R, Python, SQL etc.) to handle data
Knowledge and experience with NLP (natural language processing)
Knowledge of a variety of machine learning techniques including deep learning
Knowledge of advanced statistical techniques
Social network analysis
Strong problem solving skills based on data analysis
Understanding big data analysis technique: Map/Reduce, Hadoop echo system, Spark etc.
Competencies
CHALLENGE - Solving Complex Problems
COLLABORATION - Building and Supporting Teams
CUSTOMER - Serving Customers
GLOBALITY - Showing Community and Social Responsibility
PEOPLE - Interacting with People at Different Levels

Equal Employment Opportunities
KUS provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, ancestry, national origin, sex, including pregnancy and childbirth and related medical conditions, gender, gender identity, gender expression, age, legally protected physical disability or mental disability, legally protected medical condition, marital status, sexual orientation, family care or medical leave status, protected veteran or military status, genetic information or any other characteristic protected by applicable law. KUS complies with applicable law governing non-discrimination in employment in every location in which KUS has offices. The KUS EEO policy applies to all areas of employment, including recruitment, hiring, training, promotion, compensation, benefits, discipline, termination and all other privileges, terms and conditions of employment.

Disclaimer: The above information on this job description has been designed to indicate the general nature and level of work performed by employees within this classification and for this position. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.",3.6,"Kia America, Inc.
3.6","Irvine, CA",501 to 1000 Employees,1994,Subsidiary or Business Segment,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),0,0,81,160,81,120.5,"Kia America, Inc.", CA,0,27,data scientist,na,5805,1,0,1,0,1
Sr. Data Scientist,$72K - $132K (Glassdoor est.),"Sr. Data Scientist
Duration: Contract to Hire
Location: Remote
Client's Note: Computer vision models expert, End-End Machine learning pipeline, Machine learning Ops, Python, Sage maker in AWS) and Individual contributor.
Description:
This role will be part of the Client's Data Science team and will be responsible for designing, prototyping, deploying, and testing machine learning, computer vision-based, and deep learning models. This role will also support the translation of big data into internal and external dashboards & reports to drive company and partner performance. This role will play an integral part in building the Client's competitive advantage through leveraging data for unique customer and vendor insights.

Key Responsibilities:
Design, implement, test, prototype, and deploy Machine Learning, Computer Vision, Deep learning, and AI applications from unstructured and structured data assets
Research and implement novel statistical, machine learning approaches to address complex business questions to advance our data science approach.
Implement, maintain and document internal proprietary data science libraries to facilitate efficient and reusable processes.
Dive into new methods and technologies and embrace the ambiguity of research problem-solving.
Use statistical methodologies and machine learning techniques to build state-of-the-art predictive models to solve business problems.
Preferred Experience/Qualifications:
Bachelors or Master’s degree in Mathematics, Computer Sciences, Engineering or a related field; 5 years of experience with data.
Proven statistical skills and an ability to use hard data and metrics to back up assumptions, develop business cases, and complete root cause analyses
A clear passion for learning new business analysis techniques independently and continuously
Advanced knowledge of Python demonstrated through advanced statistical/ ML algorithms implementation and library development
Ability to work directly with end-users to ensure results meet their needs
Strong interpersonal skills, capable of writing recommendations and interacting with company personnel on complex topics
Ability to present clear, concise reporting on concurrent projects and issues
Effective verbal and written communication skills",3.8,"Agama Solutions
3.8","Atlanta, GA",51 to 200 Employees,Contract,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,0,0,72,132,72,102.0,Agama Solutions, GA,0,-1,data scientist,senior,2270,1,0,0,1,0
Data Scientist,$69K - $127K (Glassdoor est.),"About Crossover Health

Crossover makes remarkable health possible by bringing people, their doctors, data, and benefits together under one connected system of health. We’ve built an entirely new category of primary care providing one simple place to go for trusted care—in person, online, anytime. We are working with the most innovative employer partners to integrate disconnected health and wellness benefits with tech-enabled services which allows our partners to increase access to care, decrease spend, and deliver an unrivaled experience for employees near and far.
Job Responsibilities
Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse datasources to generate actionable insights and solutions for client services and product enhancement. Applies knowledge of quantitative analysis to support and inform strategic projects across the organization. Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers. Thinks critically about balancing possible solutions with desired outputs, communicates tradeoffs to stakeholders.
Design and deployment of models, quantitative analysis and design queries for all clients and internal teams.
Develops and disseminates reports and forecasts to recommend strategic / tactical plans informed by data and market knowledge; communicates findings from analysis to inform action
Works within interdisciplinary teams across complex issues of diverse scope where analysis of situation or data requires evaluation of a variety of factors, including an understanding of current business trends and overall market context
Applies business intelligence tools and processes to enable design and deployment of consistent processes and systems to enable cross-functional strategy deployment across the organization
Conducts analysis utilizing business intelligence methods and approaches in support of products necessary for critical expansion of services, including care management, virtual care, targeted clinical programming, and related services.
Experimental design, summarization, visualization and statistical analysis support for research publications.
Conducts analysis end to end, from requirements gathering to interacting with raw data sources, wrangling the data, analyzing it and communicating the findings.
Performs other duties as assigned

Required Qualifications
Bachelor’s Degree in Mathematics, Physics, Economics or Computer Science, or equivalent experience. Master’s Degree preferred.
Minimum of 2 years of experience in data science and/or data analytics.
Curiosity for data science and its role in disrupting healthcare.
Comfortable with statistical analysis (generalized linear models, mixed models, Bayesian analysis)

Preferred Qualifications
Master’s Degree preferred.
Experience with analytic software and methodology such as R and Python (libraries such as Pandas, Scikit-learn and SciPy) as well as data visualization experience (Tableau and Keynote).
Experience in data extraction, transformation and loading.
Quantifying and presenting results in layman's terms.
Experience working directly with medical and pharmacy claims data.
Experience working directly with electronic health record (EHR) data.

Physical Job Requirements
May require standing, walking and sitting for extended amounts of time.
Manual and finger dexterity and hand-eye coordination
Requires corrected vision, hearing and speech within normal ranges. Must be able to effectively communicate with patients and team members.",3.5,"Crossover Health
3.5","San Clemente, CA",1 to 50 Employees,2010,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),0,0,69,127,69,98.0,Crossover Health, CA,0,11,data scientist,na,3919,1,0,0,0,0
Senior Data Scientist,Employer Provided Salary:$71K - $165K,"About The Role
Our Data Strategy and Analytics team is seeking a Senior Data Scientist to lead and guide data scientists for multiple, diverse-scope projects with complex business and technical challenges across several business units and functions. The Senior Data Scientist will own end to end responsibilities for deploying the models into production. The ideal candidate will bring experience in Natural Language Processing/text analytics, recommendation system, machine learning, various deep learning related technologies, predictive and prescriptive analytics.
*This role is remote and we are able to hire remote employees in the following states: AZ, CA, CO, FL, GA, IL, IN, KS, KY, MI, NY, NC, NJ, NV, OH, OK, PA, TN, TX, UT, VA, WA, and WI*
The Impact You Will Have
Deep dive into business' problems and identify use cases that could represent an opportunity for transformational or disruptive innovation using the Machine learning models
Mine and analyze data from company databases or external databases to drive optimization and improvement of marketing techniques and business strategies
Own end to end responsibilities for deploying the models into production
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Develop custom data models and algorithms to apply to data sets
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
What You Bring To The Role
Advanced degree in analytical fields (e.g. Computer Science, Data Science, Engineering, Statistics, Data Analytics, Applied Mathematics) is preferred
3+ years of working experience in the data science field (e-commerce preferred)
Experience in building, training, scoring, tuning and maintaining predictive models in production at enterprise scale and knowledge of industry wide data science trends and best practices of different stages of Data Science lifecycle
Expert level with statistical modeling and statistical programing languages like Python or R
Proven track record of working cross functionally and critically evaluate complex business information from multiple perspectives, including questioning assumptions and validity.
Business acumen and excellent written and oral communication and presentation skills, with the ability to synthesize, simplify and explain complex problems to both technical and business audience and experience on documenting the models and procedures in an organized manner
Ability to multi-task, keeping multiple projects on track, and deliver results on-time
Experience analyzing data from 3rd party providers: Google Analytics and Facebook Insights is a plus
What We Offer
A team that has transitioned to remote work impressively, and remains highly collaborative and connected
Excellent growth opportunity, and stock options for all full-time employees
Medical, dental and vision (90% covered by our company; 50% for dependents) - eligible immediately
Unlimited PTO and paid company holidays
401k - eligible immediately
$60/month reimbursement for online-ordered meals
Bonusly - a team recognition platform with fun rewards
We pride ourselves in having a team that promotes diversity, inclusion, leadership, mindfulness, high initiative, energy and passion.
Job Type: Full-time
Pay: $70,527.00 - $164,574.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Work Location: One location",5.0,"HiredVirtual
5.0","Los Angeles, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,0,1,71,165,71,118.0,HiredVirtual, CA,0,-1,data scientist,senior,3551,1,0,0,0,1
"Data Scientist, Operations",$95K - $189K (Glassdoor est.),"Do you want to help connect people all over the world, and work on a team building the next generation of planet-scale AR games? We're looking for hardworking people to help our company become more data-focused - folks with the ability to be dedicated, thorough, and independent while working in a dynamic, fast-paced environment.
Responsibilities
You will work with a team of hard-working analytics and data science professionals and directly with cross-functional teams to identify business opportunities, optimize product performance, and/or develop operational strategy.
You will analyze large-scale structured and unstructured data and develop deep-dive analyses and models that drive value for our players and our games.
Have a ""product first"" mentality that aligns with our mission, values and strategy.
Translate quantitative findings in concise and clear messages to leadership and external partners.
Drive consensus; independently deliver data insights that drive cross-functional decisions across multiple teams.
Be a hands-on self-starter and stay on top of data science methodologies.
Qualifications
1+ years work experience in data science or relevant role.
BA/BS in statistics, applied mathematics, computer science, machine learning, economics or a related field.
Hands-on experience building end-to-end data pipelines, ETL processes, and/or production models.
Extensive SQL experience; deep knowledge using Python or R.
Deep understanding of statistics, live product analytics, and modeling techniques.
Experience with A/B testing, randomized control trials, and experimental design.
Plus If...
Graduate degree in one of the above listed fields.
Proven experience with natural language processing techniques; familiarity with information extraction, sentiment analysis, topic modeling, etc.
Excellent communications skills; ability to synthesize, simplify, and explain problems and methodologies to different audiences including executives.
Join the Niantic team!
Niantic is the world's leading AR technology company, sparking creative and engaging journeys in the real world. Our products inspire outdoor exploration, exercise, and meaningful social interaction.
Originally formed at Google in 2011, we became an independent company in 2015 with a strong group of investors including Nintendo, The Pokémon Company, and Alsop Louie Partners. Our current consumer titles include pioneering global-control game Ingress, record-breaking AR game Pokémon GO, and Harry Potter:Wizards Unite. Our developer platform, Lightship, launches soon.
Niantic is an Equal Opportunity employer. We believe that cultivating a workplace where our people are supported and included is essential to creating great products our community will love. Our mission emphasizes seeking and hiring diverse voices, including those who are traditionally underrepresented in the technology industry, and we consider this to be one of the most important values we hold close.
We're a hard-working, fun, and exciting group who value intellectual curiosity and a passion for problem-solving! We have growing offices located in San Francisco, Sunnyvale, Bellevue, Los Angeles, London, Tokyo, Hamburg, and Zurich.",3.6,"Niantic
3.6","San Francisco, CA",501 to 1000 Employees,2011,Company - Private,Video Games,Media,Unknown / Non-Applicable,0,0,95,189,95,142.0,Niantic, CA,0,10,data scientist,na,3193,1,0,1,0,1
Next Generation Sequencing Data Scientist – Scientist I,$77K - $149K (Glassdoor est.),"Job Description

About This Role
The Genome Technologies and Computational Sciences (GTCS) group at Biogen is seeking a bioinformatics scientist/computational biologist to join in the mission of developing analytical algorithms, data processing pipelines and fit-for-purpose tools to analyze next generation sequencing (NGS) datasets to support the needs of the Gene Therapy Accelerator Unit (GTxAU). The GTxAU aims to develop a gene therapy pipeline, ranging from exploratory research through preclinical development.
What You’ll Do
Utilize bioinformatics tools and analyze next generation sequencing
Guide the rational design of viral capsids and promoters
Evaluation of tropism and maintain quality control
Help design projects and analyze data from various in vitro and in vivo studies by working closely with GTxAU scientists, computational biology experts, the NGS lab, and structural biologists
Who You Are
You love analytics and are passionate about using NGS data to help drive key business decisions. You love learning new technological skills and working through collaboration.
Why Biogen?
Our mission to find therapies for neurological and rare diseases is a unique focus within our industry and this shared purpose is what connects us as a team. We work together to overcome obstacles and to follow the science. We are resilient as we strive to make an impact on patients’ lives and on changing the course of medicine. Together, we pioneer. Together, we thrive. The External Innovations Team’s mission is to bring forward external opportunities that complement our internal capabilities and strengths.

Qualifications

Required Skills
Ph.D. (or MS with equivalent work experience) in Computational Biology, Systems Biology, Bioengineering, or related ﬁeld. Candidates with less experience but very strong technical background will also be considered.
Extensive coding experience in Bash, R, and Python, to develop NGS analysis workflows
Experience with computational analysis of single cell datasets (scRNAseq, scATACseq, multiome and spatial transcriptomics), bulk RNAseq, DNA-seq, and microRNA-seq datasets
Experience with deriving novel insights by integrating multiple orthogonal omics data sets
Hands-on experience in complex network/pathway analysis and investigation of cell fate trajectories, cis-regulatory interactions, cell-cell communication, transcription factor regulons activity
Advanced programming experience using JavaScript, R-Shiny and web-based application development, including their use in building genomics data visualization tools
Excellent interpersonal and communication skills and a proven ability to work effectively within a cross-functional team
A solid understanding of statistics, machine learning, virology and gene therapy is desired
Preferred Skills
Experience with analysis of both short and long read sequencing data (e.g., Illumina, PacBio, Nanopore) for mutation analysis, genome mapping, expression profiling is a plus
Experience with integrative analysis of epigenetic and epigenomic datasets for understanding underlying chromatin dynamics is a plus
Experience with cross-species comparative analysis for identifying conserved regulatory mechanisms is a plus

Additional Information

All your information will be kept confidential according to EEO guidelines.",4.1,"Biogen
4.1","Cambridge, MA",5001 to 10000 Employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),0,0,77,149,77,113.0,Biogen, MA,0,43,data scientist,na,3316,1,0,0,0,1
